,Species Name,Common Name,Type,Location(s),Estimated Population,Threats
73,Pomarea whitneyi,Fatuhiva monarch,Bird,"Fatu Hiva, Marquesas Islands, French Polynesia",50 individuals,Predation by introduced species (Rattus rattus and feral cats)
74,Pristis pristis,Common sawfish,Fish,Coastal tropical and subtropical waters of Indo-Pacific and Atlantic Oceans,Unknown,Exploitation has removed the species from 95% of its historical range
75,Propithecus candidus,Silky sifaka,Mammal,"Maroantsetra to Andapa basin, Marojeju Massif, Madagascar","100–1,000 individuals","Hunting, habitat disturbance"
76,Psammobates geometricus,Geometric tortoise,Reptile,"Western Cape Province, South Africa",Unknown,"Loss of habitat, destruction, predation"
77,Pseudoryx nghetinhensis,Saola,Mammal,"Annamite mountains, Viet Nam - Laos PDR border",Unknown,"Habitat destruction, hunting"
78,Psiadia cataractae,-,Plant,Mauritius,Unknown,"Development project, competition from invasive plant species"
79,Psorodonotus ebneri,Beydaglari bush-cricket,Insect,"Beydaglari range, Antalaya, Turkey",Unknown,"Climate change, habitat loss"
80,Rafetus swinhoei,Red River giant softshell turtle,Reptile,"Hoan Kiem Lake, Dong Mo Lake, Viet Nam, Suzhou Zoo, China",3 individuals,"Hunting for consumption, wetland destruction, pollution"
81,Rhinoceros sondaicus,Javan rhino,Mammal,"Ujung Kulon National Park, Java, Indonesia",< 100 individuals,"Hunting for traditional medicine, small population size"
82,Rhinopithecus avunculus,Tonkin snub-nosed monkey,Mammal,Northeastern Vietnam,< 200 individuals,"Habitat loss, hunting"
83,Rhizanthella gardneri,West Australian underground orchid,Plant (Orchid),"Western Australia, Australia",< 100 individuals,"Land clearance for agriculture, climate change, salinisation"
84,Rhynchocyon spp.,Boni giant sengi,Mammal,"Boni-Dodori Forest, Lamu area, Kenya",Unknown,Development causing habitat loss
85,Risiocnemis seidenschwarzi,Cebu frill-wing,Insect (Damselfly),"Rivulet beside the Kawasan River, Cebu, Philippines",Unknown,Habitat degradation and destruction
86,Rosa arabica,-,Plant,"St Katherine Mountains, Egypt",10 sub-populations,"Domestic animal grazing, climate change, drought, medicinal plant collecting, limited range"
87,Salanoia durrelli,Durrell's vontsira,Mammal,"Marshes of Lake Alaotra, Madagascar",Unknown,Loss of habitat
88,Santamartamys rufodorsalis,Red crested tree rat,Mammal,"Sierra Nevada de Santa Marta, Colombia",Unknown,"Urban development, coffee cultivation"
89,Scaturiginichthys vermeilipinnis,Red-finned blue-eye,Fish,"Edgbaston Station, central western Queensland, Australia",2,
